0.0000	0.00000
0.0100	0.00320
0.0200	0.01190
0.0300	0.03010
0.0400	0.04940
0.0500	0.07990
0.0600	0.11480
0.0700	0.16280
0.0800	0.20200
0.0900	0.25440
0.1000	0.30920
0.1100	0.36290
0.1200	0.43230
0.1300	0.51500
0.1400	0.57100
0.1500	0.62010
0.1600	0.69520
0.1700	0.77600
0.1800	0.84500
0.1900	0.94440
0.2000	1.00350
0.2100	1.07600
0.2200	1.16090
0.2300	1.24800
0.2400	1.33170
0.2500	1.41860
0.2600	1.53630
0.2700	1.59330
0.2800	1.69050
0.2900	1.78260
0.3000	1.88780
0.3100	1.99650
0.3200	2.11860
0.3300	2.23960
0.3400	2.34710
0.3500	2.50920
0.3600	2.61580
0.3700	2.80150
0.3800	2.94200
0.3900	3.13670
0.4000	3.30740
0.4100	3.56060
0.4200	3.75130
0.4300	3.98110
0.4400	4.31300
0.4500	4.62280
0.4600	4.95520
0.4700	5.39340
0.4800	5.92310
0.4900	6.44760
0.5000	7.04620
0.5100	7.75310
0.5200	8.55170
0.5300	9.52770
0.5400	10.46480
0.5500	11.86810
0.5600	12.93940
0.5700	14.40000
0.5800	15.84560
0.5900	17.30590
0.6000	18.30230
0.6100	19.49080
0.6200	19.84390
0.6300	20.04930
0.6400	19.71030
0.6500	19.21300
0.6600	18.41760
0.6700	17.45820
0.6800	16.46340
0.6900	15.24580
0.7000	14.30340
0.7100	13.31760
0.7200	12.39850
0.7300	11.55070
0.7400	10.68000
0.7500	10.03720
0.7600	9.36420
0.7700	8.75570
0.7800	8.14930
0.7900	7.69930
0.8000	7.19990
0.8100	6.76850
0.8200	6.28910
0.8300	5.89940
0.8400	5.53630
0.8500	5.19360
0.8600	4.90290
0.8700	4.55150
0.8800	4.21670
0.8900	3.97150
0.9000	3.65120
0.9100	3.38400
0.9200	3.15230
0.9300	2.87320
0.9400	2.63880
0.9500	2.43310
0.9600	2.21920
0.9700	1.98340
0.9800	1.69870
0.9900	1.34490
1.0000	1.00000
